response,rt,participant_id,ab_nominal
0,1.4546,708,0.05
0,2.0167,708,0.05
1,0.9597,708,0.05
1,0.9102,708,0.05
0,1.0218,708,0.05
1,1.7226,708,0.05
1,2.4916,708,0.05
1,1.9404,708,0.05
0,1.1724,708,10.0
1,1.0646,708,10.0
1,0.7834,708,10.0
1,0.925,708,10.0
1,1.8895,708,10.0
1,1.4822,708,10.0
1,1.5836,708,10.0
1,1.1668,708,10.0
0,1.5238,708,10.0
1,0.8947,708,10.0
0,1.3337,708,10.0
0,1.3169,708,10.0
1,0.7001,708,10.0
1,0.7466,708,10.0
1,2.0,708,10.0
1,1.3959,708,10.0
1,1.1504,708,0.05
0,0.7499,708,0.05
1,1.2337,708,0.05
0,1.4504,708,0.05
0,0.9501,708,0.05
1,0.7505,708,0.05
1,0.7163,708,0.05
1,1.0003,708,0.05
1,1.2171,708,0.05
0,1.2493,708,0.05
1,1.4672,708,0.05
1,1.3533,708,0.05
1,0.9439,708,0.05
0,1.4741,708,0.05
1,1.2104,708,0.05
1,1.1013,708,0.05
0,0.9971,708,0.05
1,1.6615,708,0.05
0,1.0835,708,0.05
1,0.9841,708,0.05
0,1.514,708,0.05
1,1.3341,708,10.0
1,1.2999,708,10.0
0,0.8664,708,10.0
1,1.0329,708,10.0
0,1.5287,708,10.0
1,1.9168,708,10.0
0,1.0007,708,10.0
0,1.1152,708,10.0
1,1.0489,708,10.0
1,2.0334,708,10.0
1,1.7341,708,10.0
1,0.9485,708,10.0
1,2.4832,708,10.0
0,1.3817,708,0.05
1,1.0665,708,0.05
1,1.3501,708,0.05
0,1.0658,708,0.05
0,0.7489,708,0.05
1,0.9142,708,0.05
1,1.2977,708,0.05
1,2.1,708,0.05
1,1.7503,708,10.0
1,1.1669,708,10.0
1,0.9331,708,10.0
1,2.2985,708,10.0
1,1.2054,708,10.0
1,2.2282,708,0.05
1,0.8572,708,0.05
0,1.8773,708,0.05
0,0.9092,708,0.05
1,0.8119,708,0.05
1,1.0258,708,0.05
1,1.0572,708,0.05
1,0.8602,708,10.0
1,0.8941,708,10.0
1,1.3728,708,10.0
1,1.9228,708,10.0
1,0.9431,708,10.0
1,2.2269,708,10.0
1,1.1915,708,10.0
1,1.2382,708,10.0
0,1.1872,709,10.0
1,1.0333,709,10.0
0,1.8186,709,10.0
0,0.9463,709,10.0
1,1.409,709,10.0
1,0.9613,709,10.0
0,1.5111,709,10.0
1,2.0421,709,10.0
0,0.9729,709,0.05
1,0.7414,709,0.05
1,1.1605,709,0.05
1,0.9102,709,0.05
0,0.9517,709,0.05
1,0.8644,709,0.05
0,1.6782,709,0.05
0,0.8972,709,0.05
0,1.0083,709,10.0
0,1.2279,709,10.0
0,0.8255,709,10.0
1,1.5246,709,10.0
0,0.9892,709,10.0
1,1.1821,709,10.0
1,1.4278,709,10.0
1,0.9816,709,10.0
1,0.8283,709,0.05
1,0.7605,709,0.05
1,1.3837,709,0.05
0,0.9749,709,0.05
0,1.3725,709,0.05
1,1.0194,709,0.05
1,1.412,709,0.05
0,1.802,709,0.05
1,1.6364,709,0.05
0,2.3581,709,0.05
0,1.5371,709,0.05
1,1.527,709,0.05
1,1.9035,709,0.05
0,1.5714,709,0.05
0,1.7864,709,0.05
1,1.4038,709,0.05
1,2.1615,709,10.0
1,2.0638,709,10.0
1,2.1714,709,10.0
1,1.4371,709,10.0
0,3.6669,709,10.0
1,1.7465,709,10.0
1,1.848,709,10.0
1,1.7199,709,0.05
1,1.0461,709,0.05
0,2.7565,709,0.05
0,2.8492,709,0.05
1,2.2191,709,0.05
0,2.3768,709,0.05
0,1.6204,709,0.05
1,2.806,709,0.05
1,3.6241,709,10.0
1,2.4471,709,10.0
0,2.0078,709,10.0
1,1.342,709,10.0
1,1.681,709,10.0
1,1.602,709,10.0
1,2.8046,709,10.0
0,1.958,709,10.0
0,1.6833,709,10.0
1,1.7572,709,10.0
1,1.0533,709,10.0
1,2.51,709,10.0
1,1.0356,709,10.0
1,2.241,709,10.0
0,2.1704,709,10.0
1,1.2027,709,0.05
1,0.9788,709,0.05
1,0.9319,709,0.05
1,2.0081,709,0.05
0,3.3372,709,0.05
1,3.2522,709,0.05
0,1.415,709,0.05
1,1.1818,709,0.05
0,2.1922,709,0.05
0,2.1474,709,0.05
0,1.5239,709,0.05
0,2.9273,709,0.05
0,3.4732,709,0.05
1,3.8238,709,0.05
1,1.3448,709,0.05
